Gene;P-I;P-II;P-III;A-I;A-II;A-III;S-I;S-II;S-III
Arhgef12;467.6864778;444.8347932;537.7700414;449.426954;356.5176547;489.7607088;349.6767277;443.799114;376.6341865
Tmem136;78.35584968;105.1974173;101.6359648;79.08035254;68.76453281;71.94225101;81.74261167;70.51892702;64.61861044
Oaf;723.5672994;793.4890906;741.0419709;837.7819526;745.830702;794.6851727;1247.331704;1317.293557;1437.302521
D630033O11Rik;11.01879136;2.00376033;5.146124798;11.74460681;13.75290656;13.28164634;15.13752068;9.402523602;9.231230062
Trim29;184.8708328;180.3384297;151.8106815;117.4460681;205.2356825;175.4284121;56.00882652;26.32706609;60.92611841
Gm30015;6.121550756;27.05076445;7.719187197;28.97003014;20.1004019;17.15545986;30.27504136;48.89312273;21.23182914
Nectin1;44.07516545;34.06392561;47.60165438;99.43767101;162.919047;130.6028557;208.8977854;206.8555192;242.7813506
Gm30373;0;0;1.2865312;0;0;1.106803862;1.513752068;2.820757081;2.769369019
E230034D01Rik;0;1.001880165;3.859593599;0;1.057915889;0.553401931;1.513752068;6.581766522;0
Thy1;9.79448121;3.005640495;7.719187197;6.2637903;7.405411225;2.767009654;0;3.761009441;11.07747607
Gm49380;0;3.005640495;0;0.782973787;1.057915889;1.106803862;0;1.88050472;3.692492025
Usp2;71.00998877;78.14665287;69.47268477;43.06355831;44.43246735;54.78679115;78.71510754;103.4277596;101.5435307
Rnf26;369.7416657;342.6430164;373.0940479;331.1979121;385.0813837;367.4588821;366.3280005;434.3965904;470.7927332
Gm26737;41.62654514;24.04512396;27.01715519;27.40408256;44.43246735;32.09731199;27.24753722;29.14782317;40.61741227
Gm10687;6.121550756;5.009400825;6.432655998;6.2637903;3.173747668;7.747627032;4.541256204;5.641514161;6.461861044
Mcam;37.95361469;35.06580577;33.44981119;69.68466709;40.2008038;40.95174288;54.49507445;91.20447894;57.23362639
Cbl;1051.68242;1307.453615;1599.158281;1458.680166;1230.356179;1475.92295;1220.084167;1225.148825;1149.288143
Nlrx1;19.58896242;36.06768594;27.01715519;13.31055439;21.15831779;14.94185213;24.22003309;14.1037854;13.84684509
Abcg4;47.7480959;9.016921485;6.432655998;25.0551612;26.44789723;11.62144055;18.16502482;12.22328068;15.69309111
Gm48604;59.99119741;75.14101237;104.2090272;108.8333565;75.11202814;90.20451473;89.31137201;114.7107879;85.85043958
Hinfp;210.581346;206.387314;194.2662111;182.4328925;198.8881872;179.3022256;178.622744;153.2611347;160.6234031
C2cd2l;88.15033089;77.1447727;64.32655998;102.5695662;75.11202814;81.90348576;92.33887615;69.57867466;96.92791565
Dpagt1;280.3670246;399.7501858;284.3233951;318.6703315;327.9539257;319.866316;249.7690912;300.8807553;347.0942503
H2afx;3189.327944;3120.856714;2944.869916;3047.333981;3258.380939;3070.273912;3128.925525;2905.379793;3652.797736
Hmbs;2269.87102;1448.718719;1299.396512;1934.728229;1368.943161;1269.504029;1435.03696;1085.051224;1565.616619
Vps11;112.6365339;106.1992975;87.48412157;84.56116905;90.98076648;101.2725533;140.7789423;73.3396841;94.15854663
Hyou1;553.3881884;835.5680576;526.1912606;382.0912083;714.0932253;571.6641946;538.8957362;497.3934986;504.0251614
Slc37a4;124.8796354;87.16357435;82.33799677;59.50600785;81.45952348;73.04905487;110.503901;90.26422658;107.0822687
Trappc4;1154.524473;1164.184752;900.5718397;1157.235258;1105.522104;1089.095;876.4624474;1019.233558;1116.978838
