sample,Gene,Z-score,group,replicate
P-I,Ap1m2,0.213252708187965,Posterior,1
P-I,Ap1s1,2.3163767665470454,Posterior,1
P-I,Ap1s2,0.21569118445396246,Posterior,1
P-I,Ap2a1,0.2623084431339542,Posterior,1
P-I,Ap2a2,-0.39281778496214537,Posterior,1
P-I,Ap2b1,0.6402906709148514,Posterior,1
P-I,Ap2m1,-0.13054130073017495,Posterior,1
P-I,Ap2s1,-1.176458624046261,Posterior,1
P-I,Ap3b1,-1.8999914580484025,Posterior,1
P-I,Ap3d1,0.5505797858383275,Posterior,1
P-I,Ap3m1,-1.7155997648363837,Posterior,1
P-I,Ap3m2,1.231823765929254,Posterior,1
P-I,Ap3s1,-0.4440204879404109,Posterior,1
P-I,Ap3s2,-2.1835781221905535,Posterior,1
P-I,Ap4b1,-1.6114721511917325,Posterior,1
P-I,Ap4e1,-2.7104451100432376,Posterior,1
P-I,Ap4m1,1.1291947529332484,Posterior,1
P-I,Ap4s1,-0.3078926802752104,Posterior,1
P-I,Ap5b1,1.737603719555732,Posterior,1
P-I,Ap5m1,1.6276307141027446,Posterior,1
P-I,Ap5s1,-2.106006607822492,Posterior,1
P-I,Ap5z1,-0.20504156160258152,Posterior,1
P-I,Apaf1,-0.25141241379143103,Posterior,1
P-I,Apba3,-1.0822168477393594,Posterior,1
P-I,Apbb1,-1.6352988182095731,Posterior,1
P-I,Apbb1ip,1.334805674074223,Posterior,1
P-I,Apbb2,0.7859059725328797,Posterior,1
P-I,Apc,0.6575595128748005,Posterior,1
P-I,Apcdd1,0.2655868588685707,Posterior,1
P-I,Apeh,-0.24598376405351188,Posterior,1
P-I,Apex1,0.8666679105656923,Posterior,1
P-I,Apex2,2.0938225303046383,Posterior,1
P-I,Aph1a,2.0234010254432286,Posterior,1
P-I,Api5,1.3703221631730877,Posterior,1
P-I,Apip,-1.9660692358306353,Posterior,1
P-I,Aplf,0.16388394572561807,Posterior,1
P-I,Aplnr,0.6397954417284084,Posterior,1
P-I,Aplp2,-0.19244111939862316,Posterior,1
P-I,Apmap,-2.366077741453829,Posterior,1
P-I,Apoa1,-0.32541751932944957,Posterior,1
P-I,Apoa2,-2.2554029626834176,Posterior,1
P-I,Apoa4,-0.7490663481829049,Posterior,1
P-I,Apob,-0.9872289105840253,Posterior,1
P-I,Apobec3,1.3365384336927195,Posterior,1
P-I,Apoe,-1.8902752075757476,Posterior,1
P-I,Apoh,-1.1176354176014964,Posterior,1
P-I,Apom,-0.8934396475113021,Posterior,1
P-I,Apoo,-0.4843976818227283,Posterior,1
P-I,Apool,2.026760023923612,Posterior,1
P-I,App,-1.1241480951208682,Posterior,1
P-I,Appbp2,-1.8991881834960678,Posterior,1
P-I,Appl1,0.326658233438858,Posterior,1
P-I,Appl2,0.43982303391057403,Posterior,1
P-I,Aprt,-1.503536331044033,Posterior,1
P-I,Aptx,-1.3846820908768114,Posterior,1
P-I,Aqr,-1.4822129441264373,Posterior,1
P-I,Araf,-0.13782796659244234,Posterior,1
P-I,Araf.1,-0.8851153250662103,Posterior,1
P-I,Arap1,0.9232185433309736,Posterior,1
P-I,Arap3,-0.7061941401462432,Posterior,1
P-I,Arb2a,2.0400425719679074,Posterior,1
P-I,Arcn1,-1.9671268318178414,Posterior,1
P-I,Arel1,-2.0019535497697114,Posterior,1
